Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,Unnamed: 0,start_year,team_id,team_name,id,primary_number,birth_date,current_age,birth_city,birth_state_province,birth_country,nationality,height,weight,active,alternate_captain,captain,rookie,shoots_catches,roster_status,position_name,position_type,position_abbreviation
602,Callan Foote,TBL,23,D,56,2,7,9,29,6.0,13:07,12:54,0:01,0:12,2,0,0,0,0,7.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,3,0,0.0%,0.163,0.571,0.735,0.166,0.581,0.747,0.0,0.0,0.0,0.036,0.125,0.161,49.0,4.1%,83.0,57.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
603,Robert Hägg,FLA,26,D,64,1,8,9,35,-9.0,16:01,14:03,0:01,1:55,1,0,0,0,0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0,0,0.0%,0.059,0.468,0.527,0.067,0.533,0.6,0.0,0.0,0.0,0.016,0.125,0.141,59.0,1.7%,138.0,102.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
604,Jack Johnson,COL,34,D,74,1,8,9,42,5.0,16:44,14:40,0:02,2:01,1,0,0,0,0,7.0,0.0,1.0,0.0,0.0,8.0,0.0,1.0,0,0,0.0%,0.048,0.387,0.436,0.055,0.387,0.442,0.0,0.0,0.0,0.014,0.108,0.122,57.0,1.8%,91.0,68.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
611,Fabian Zetterlund,NJD,22,F,14,3,5,8,0,5.0,13:20,11:47,1:32,0:00,3,0,0,0,0,5.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1,0,0.0%,0.964,1.606,2.57,1.09,1.816,2.906,0.0,0.0,0.0,0.214,0.357,0.571,36.0,8.3%,16.0,7.0,2.0,1.0,66.67%,,,,,,,,,,,,,,,,,,,,,,,
614,Dakota Joshua,STL,25,F,30,3,5,8,16,6.0,8:29,8:26,0:02,0:00,3,0,0,2,0,5.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3,0,0.0%,0.706,1.177,1.884,0.711,1.186,1.897,0.0,0.0,0.0,0.1,0.167,0.267,31.0,9.7%,77.0,10.0,40.0,35.0,53.33%,,,,,,,,,,,,,,,,,,,,,,,
617,Jordan Spence,LAK,20,D,24,2,6,8,2,0.0,19:44,17:28,1:41,0:34,2,0,0,1,0,4.0,2.0,0.0,2.0,0.0,6.0,2.0,0.0,3,0,25.0%,0.253,0.76,1.013,0.286,0.572,0.858,0.0,2.954,2.954,0.083,0.25,0.333,41.0,4.9%,32.0,29.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
618,William Borgen,SEA,25,D,36,2,6,8,28,1.0,15:17,14:24,0:02,0:50,2,0,0,0,0,6.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,1,0,0.0%,0.218,0.654,0.872,0.231,0.694,0.925,0.0,0.0,0.0,0.056,0.167,0.222,49.0,4.1%,89.0,33.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
620,Jaycob Megna,SJS,29,D,44,2,6,8,16,-1.0,19:07,17:10,0:02,1:55,2,0,0,0,0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0,0.0%,0.143,0.428,0.571,0.159,0.477,0.635,0.0,0.0,0.0,0.045,0.136,0.182,40.0,5.0%,71.0,92.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
622,Michael Anderson,LAK,22,D,57,2,6,8,8,6.0,20:06,18:05,0:06,1:54,2,0,0,1,0,6.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,4,0,0.0%,0.105,0.314,0.419,0.116,0.349,0.465,0.0,0.0,0.0,0.035,0.105,0.14,58.0,3.5%,133.0,69.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
624,Olli Määttä,LAK,27,D,66,1,7,8,10,17.0,18:16,16:23,0:07,1:46,1,0,0,0,0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0,0.0%,0.05,0.348,0.398,0.055,0.388,0.444,0.0,0.0,0.0,0.015,0.106,0.121,61.0,1.6%,67.0,94.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
626,Gavin Bayreuther,CBJ,27,D,43,0,8,8,22,0.0,13:03,12:34,0:02,0:26,0,0,0,0,0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0,0,0.0%,0.0,0.855,0.855,0.0,0.887,0.887,0.0,0.0,0.0,0.0,0.186,0.186,44.0,0.0%,50.0,45.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
627,Tobias Björnfot,LAK,20,D,70,0,8,8,6,-12.0,16:45,15:36,0:04,1:04,0,0,0,0,0,8.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,2,0,0.0%,0.0,0.409,0.409,0.0,0.439,0.439,0.0,0.0,0.0,0.0,0.114,0.114,53.0,0.0%,61.0,58.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
629,Brendan Gaunce,CBJ,27,F,30,5,2,7,12,2.0,8:05,8:05,0:00,0:00,5,0,0,0,0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0,0.0%,1.235,0.494,1.729,1.236,0.494,1.731,0.0,0.0,0.0,0.167,0.067,0.233,44.0,11.4%,42.0,9.0,66.0,60.0,52.38%,,,,,,,,,,,,,,,,,,,,,,,
630,Joseph Snively,WSH,25,F,12,4,3,7,2,3.0,11:33,11:15,0:18,0:00,3,1,0,0,0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0,0,14.3%,1.731,1.298,3.028,1.333,1.333,2.666,16.514,0.0,16.514,0.333,0.25,0.583,21.0,19.1%,2.0,3.0,0.0,1.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
632,Givani Smith,DET,23,F,46,4,3,7,108,-6.0,8:28,8:28,0:00,0:00,4,0,0,0,0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0,0.0%,0.616,0.462,1.078,0.616,0.462,1.078,0.0,0.0,0.0,0.087,0.065,0.152,50.0,8.0%,86.0,20.0,1.0,1.0,50.00%,,,,,,,,,,,,,,,,,,,,,,,
633,Henrik Borgström,CHI,24,F,52,4,3,7,22,-14.0,10:31,9:48,0:38,0:04,4,0,0,0,0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0,0,14.3%,0.439,0.329,0.768,0.47,0.235,0.706,0.0,1.805,1.805,0.077,0.058,0.135,41.0,9.8%,26.0,19.0,82.0,122.0,40.20%,,,,,,,,,,,,,,,,,,,,,,,
635,Joshua Mahura,ANA,23,D,38,3,4,7,12,-14.0,14:03,13:49,0:02,0:11,3,0,0,0,0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0,0.0%,0.337,0.449,0.786,0.343,0.457,0.8,0.0,0.0,0.0,0.079,0.105,0.184,36.0,8.3%,63.0,51.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
639,Matthew Martin,NYI,32,F,71,3,4,7,70,-2.0,11:26,11:20,0:05,0:01,3,0,0,0,0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0,0.0%,0.222,0.295,0.517,0.224,0.298,0.522,0.0,0.0,0.0,0.042,0.056,0.099,66.0,4.6%,235.0,27.0,8.0,11.0,42.11%,,,,,,,,,,,,,,,,,,,,,,,
641,Calle Rosén,STL,27,D,18,2,5,7,4,-2.0,14:19,13:56,0:07,0:16,2,0,0,0,0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0,0,0.0%,0.465,1.163,1.629,0.478,1.196,1.674,0.0,0.0,0.0,0.111,0.278,0.389,18.0,11.1%,6.0,16.0,0.0,0.0,0.00%,,,,,,,,,,,,,,,,,,,,,,,
